,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
936,2019.11.26_14.07.37,-8.394878,51.886015,5G,-101,-11,2.0,14,-,0,0,I
937,2019.11.26_14.07.39,-8.394878,51.886015,5G,-101,-12,1.0,14,-,0,0,I
938,2019.11.26_14.07.40,-8.394878,51.886015,5G,-101,-12,1.0,13,-,2,4,D
939,2019.11.26_14.07.41,-8.394878,51.886015,5G,-101,-12,4.0,14,-85,0,0,D
940,2019.11.26_14.07.42,-8.394878,51.886015,5G,-101,-12,4.0,14,-85,2,4,D
941,2019.11.26_14.07.43,-8.394878,51.886015,5G,-100,-11,5.0,14,-85,0,0,I
942,2019.11.26_14.07.44,-8.394878,51.886015,5G,-100,-11,5.0,14,-85,2,4,D
943,2019.11.26_14.07.45,-8.394878,51.886015,5G,-101,-11,2.0,14,-85,0,0,I
944,2019.11.26_14.07.46,-8.394878,51.886015,5G,-101,-11,2.0,14,-85,0,0,I
945,2019.11.26_14.07.47,-8.394878,51.886015,5G,-101,-12,3.0,14,-85,0,0,I
946,2019.11.26_14.07.48,-8.394878,51.886015,5G,-101,-12,3.0,14,-85,0,0,I
947,2019.11.26_14.07.49,-8.394878,51.886015,5G,-101,-13,7.0,14,-85,0,0,I
948,2019.11.26_14.07.50,-8.394878,51.886015,5G,-101,-13,7.0,12,-,0,0,I
949,2019.11.26_14.07.51,-8.394878,51.886015,5G,-101,-13,7.0,14,-,0,0,I
950,2019.11.26_14.07.53,-8.394878,51.886015,5G,-101,-13,7.0,11,-87,0,0,I
951,2019.11.26_14.07.54,-8.394878,51.886015,5G,-100,-11,8.0,14,-85,0,0,I
952,2019.11.26_14.07.55,-8.394878,51.886015,5G,-100,-11,8.0,14,-85,5318,115,D
953,2019.11.26_14.07.56,-8.394878,51.886015,5G,-100,-12,6.0,12,-83,16574,282,D
954,2019.11.26_14.07.57,-8.394878,51.886015,5G,-100,-12,6.0,12,-83,4947,108,D
955,2019.11.26_14.07.58,-8.394878,51.886015,5G,-100,-11,6.0,12,-83,7097,136,D
956,2019.11.26_14.07.59,-8.394878,51.886015,5G,-100,-11,6.0,6,-86,0,0,I
957,2019.11.26_14.08.00,-8.394878,51.886015,5G,-100,-11,6.0,6,-86,0,0,I
958,2019.11.26_14.08.01,-8.394878,51.886015,5G,-100,-11,6.0,14,-84,2,4,D
959,2019.11.26_14.08.02,-8.394878,51.886015,5G,-101,-12,4.0,14,-84,0,0,I
960,2019.11.26_14.08.03,-8.394878,51.886015,5G,-101,-12,4.0,12,-86,18,32,D
961,2019.11.26_14.08.04,-8.394878,51.886015,5G,-100,-11,3.0,12,-86,0,0,D
962,2019.11.26_14.08.06,-8.394878,51.886015,5G,-100,-11,3.0,12,-86,0,0,D
963,2019.11.26_14.08.07,-8.394878,51.886015,5G,-100,-12,8.0,12,-86,0,0,I
964,2019.11.26_14.08.08,-8.394878,51.886015,5G,-100,-12,8.0,12,-86,0,0,I
965,2019.11.26_14.08.09,-8.394878,51.886015,5G,-101,-11,6.0,12,-86,0,0,I
966,2019.11.26_14.08.10,-8.394878,51.886015,5G,-101,-11,6.0,12,-86,0,0,I
967,2019.11.26_14.08.11,-8.394878,51.886015,5G,-101,-11,5.0,12,-86,0,0,I
968,2019.11.26_14.08.12,-8.394878,51.886015,5G,-101,-11,5.0,12,-86,0,0,I
969,2019.11.26_14.08.13,-8.394878,51.886015,5G,-101,-10,2.0,12,-86,0,0,I
970,2019.11.26_14.08.14,-8.394878,51.886015,5G,-101,-10,2.0,12,-86,0,0,I
971,2019.11.26_14.08.15,-8.394878,51.886015,5G,-101,-11,-1.0,12,-86,0,0,I
972,2019.11.26_14.08.16,-8.394878,51.886015,5G,-101,-11,-1.0,9,-84,0,0,I
973,2019.11.26_14.08.17,-8.394878,51.886015,5G,-101,-11,9.0,10,-,0,0,I
974,2019.11.26_14.08.18,-8.394878,51.886015,5G,-101,-11,9.0,10,-,0,0,I
975,2019.11.26_14.08.20,-8.394878,51.886015,5G,-101,-11,3.0,10,-,0,0,I
976,2019.11.26_14.08.21,-8.394878,51.886015,5G,-101,-11,3.0,10,-,0,0,I
977,2019.11.26_14.08.22,-8.394878,51.886015,5G,-101,-11,8.0,10,-,2,4,D
978,2019.11.26_14.08.23,-8.394878,51.886015,5G,-101,-11,8.0,10,-,0,0,D
979,2019.11.26_14.08.24,-8.394878,51.886015,5G,-101,-10,-5.0,8,-86,2,4,D
980,2019.11.26_14.08.25,-8.394878,51.886015,5G,-101,-10,-5.0,8,-86,0,0,I
981,2019.11.26_14.08.26,-8.394878,51.886015,5G,-101,-10,2.0,7,-84,2,4,D
982,2019.11.26_14.08.27,-8.394878,51.886015,5G,-101,-10,2.0,7,-84,0,0,I
983,2019.11.26_14.08.28,-8.394878,51.886015,5G,-101,-10,6.0,9,-87,0,0,I
984,2019.11.26_14.08.29,-8.394878,51.886015,5G,-101,-10,6.0,9,-85,0,0,I
985,2019.11.26_14.08.30,-8.394878,51.886015,5G,-103,-13,5.0,13,-87,0,0,I
986,2019.11.26_14.08.31,-8.394878,51.886015,5G,-103,-13,5.0,13,-87,0,0,I
987,2019.11.26_14.08.33,-8.394878,51.886015,5G,-102,-12,5.0,9,-83,0,0,I
