,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1675,2019.12.16_13.33.58,-8.394601,51.886139,5G,-101,-10,5.0,12,-88,0,0,I
1676,2019.12.16_13.33.59,-8.394601,51.886139,5G,-101,-10,5.0,12,-88,56,45,D
1677,2019.12.16_13.34.00,-8.394601,51.886139,5G,-101,-9,4.0,12,-88,39,57,D
1678,2019.12.16_13.34.01,-8.394601,51.886139,5G,-101,-9,4.0,12,-88,7,37,D
1679,2019.12.16_13.34.02,-8.394601,51.886139,5G,-101,-10,4.0,12,-88,7,21,D
1680,2019.12.16_13.34.03,-8.394601,51.886139,5G,-101,-10,4.0,12,-88,0,0,I
1681,2019.12.16_13.34.05,-8.394601,51.886139,5G,-100,-10,3.0,14,-86,0,0,I
1682,2019.12.16_13.34.06,-8.394601,51.886139,5G,-100,-10,3.0,14,-88,2,4,D
1683,2019.12.16_13.34.07,-8.394601,51.886139,5G,-100,-10,3.0,14,-88,0,0,D
1684,2019.12.16_13.34.08,-8.394601,51.886139,5G,-100,-10,3.0,14,-88,2,4,D
1685,2019.12.16_13.34.09,-8.394601,51.886139,5G,-99,-9,5.0,14,-90,0,0,D
1686,2019.12.16_13.34.10,-8.394601,51.886139,5G,-99,-9,5.0,14,-90,2,4,D
1687,2019.12.16_13.34.11,-8.394601,51.886139,5G,-100,-10,5.0,14,-90,9687,56,D
1688,2019.12.16_13.34.12,-8.394601,51.886139,5G,-100,-10,5.0,14,-88,8347,30,D
1689,2019.12.16_13.34.13,-8.394601,51.886139,5G,-100,-10,-2.0,14,-88,0,0,I
1690,2019.12.16_13.34.14,-8.394601,51.886139,5G,-100,-10,-2.0,14,-88,0,0,I
1691,2019.12.16_13.34.15,-8.394601,51.886139,5G,-100,-11,2.0,14,-88,0,0,I
1692,2019.12.16_13.34.16,-8.394601,51.886139,5G,-100,-11,2.0,14,-88,0,0,I
1693,2019.12.16_13.34.17,-8.394601,51.886139,5G,-100,-11,-3.0,14,-88,0,0,I
1694,2019.12.16_13.34.19,-8.394601,51.886139,5G,-100,-11,-3.0,14,-88,0,0,I
1695,2019.12.16_13.34.20,-8.394601,51.886139,5G,-100,-11,-3.0,14,-88,0,0,I
1696,2019.12.16_13.34.21,-8.394601,51.886139,5G,-100,-11,-3.0,14,-88,0,0,I
